vm.ee;16244;-
ruhnu.ee;481;-
sangaste.ee;22702;-
ravimiamet.ee;2507;-
puka.ee;5447;-
eestipank.ee;7;AAA
politsei.ee;15;AAA
otepaa.ee;268;-
moisakyla.ee;45;-
muinas.ee;22;-
tallinn.ee;11;AAA
pria.ee;12;-
aserivv.ee;2;AAA
vandra.ee;3;-
aku.ee;37;-
voru.ee;452;-
vonnu.ee;1;AAA
meeksi.ee;202;-
uus.saue.ee;5709;-
vormsi.ee;359;-
rakke.ee;278;-
veriora.ee;302;-
vaivara.ee;1303;-
raikkyla.ee;1366;-
luunja.ee;189;-
kadriorg.ee;50;AAA
tostamaa.ee;8;-
rannu.ee;486;-
iisaku.ee;544;-
paldiski.ee;66;-
ambla.ee;648;-
muhu.ee;120;-
vandravald.ee;288;-
varstu.ee;937;-
helme.ee;253;-
kihnu.ee;582;-
vald.koo.ee;2;AAA
illuka.ee;2;AAA
kohtla-jarve.ee;4;AAA
kuusalu.ee;2;-
sonda.ee;2;-
pihtlavv.ee;1;AAA
konguta.ee;1;AAA
